"V1","V2","V3","V4","V5","F1","F2","F3","F4","F5","F6","F7","theta_V1","theta_V2","theta_V3","theta_V4","theta_V5","theta_F1","theta_F2","theta_F3","theta_F4","theta_F5","theta_F6","theta_F7"
0,0,0,0,0,3,3,3,3,3,3,3,0.0168284009381568,0.0214582241640247,0.0288191534514283,0.0350516693361371,0.0486287500074382,0.376344239183961,0.376344239186409,0.376344239176908,0.376344239184788,0.376344239186264,0.376344239185852,0.376344239184879
0.1,0,0,0,0,3,3,3,3,3,3,3,0.0185631354285775,0.0214588917678922,0.0288202122052473,0.0350528432227392,0.048630524532791,0.376379348446276,0.376360939579829,0.376417529506313,0.376369077964416,0.376362835886605,0.376356851622663,0.376356265307116
0.2,0,0,0,0,3,3,3,3,3,3,3,0.0206733257634261,0.0214597064948199,0.0288215042762397,0.0350542758046828,0.0486326901087888,0.376422199120047,0.376381321073445,0.376506982815253,0.376399392828891,0.376385531972369,0.376372243530465,0.376370941709644
0.3,0,0,0,0,3,3,3,3,3,3,3,0.0232850289244282,0.0214607188762185,0.0288231098056862,0.0350560559325292,0.0486353810484343,0.376475451915428,0.376406648323515,0.376618155445025,0.376437065590336,0.37641373591249,0.376391369574878,0.376389178678325
0.4,0,0,0,0,3,3,3,3,3,3,3,0.0265806240297207,0.0214619930134426,0.0288251327405028,0.035058297498546,0.0486387714352191,0.376542823551091,0.37643859811884,0.376758995768354,0.376484674798864,0.37644933470566,0.376415453656273,0.37641213551501
0.5,0,0,0,0,3,3,3,3,3,3,3,0.0308275430827644,0.0214636574378457,0.0288277724155206,0.035061224190152,0.0486431956247896,0.376630427033944,0.376480247698636,0.376941913345769,0.376546639699912,0.37649571832074,0.376446898879402,0.37644211876663
0,0.1,0,0,0,3,3,3,3,3,3,3,0.0168291831842421,0.0236252651638826,0.0288205429290051,0.0350535753422983,0.0486312847151773,0.376384106125322,0.376417664011196,0.376380678296633,0.37642029511077,0.376399365047537,0.376474649559331,0.376522488084029
0.1,0.1,0,0,0,3,3,3,3,3,3,3,0.0185639954412345,0.0236259971021266,0.0288216014277757,0.0350547489151496,0.0486330587920072,0.376419211576119,0.376434360533188,0.376453964387407,0.376445129856829,0.376417958003227,0.376487257676365,0.376534509514794
0.2,0.1,0,0,0,3,3,3,3,3,3,3,0.0206742786336724,0.0236268903382851,0.0288228931756951,0.0350561811057494,0.0486352238073735,0.376462057477743,0.376454737210678,0.376543412386276,0.37647543970559,0.376440649429681,0.376502644242636,0.376549180139129
0.3,0.1,0,0,0,3,3,3,3,3,3,3,0.0232860936701366,0.0236280002743435,0.0288244983021267,0.0350579607434408,0.0486379140454763,0.376515304277657,0.376480058440191,0.376654578289588,0.376513106185788,0.376468847535685,0.376521763626209,0.376567409909846
0.4,0.1,0,0,0,3,3,3,3,3,3,3,0.0265818241866212,0.0236293969307588,0.0288265205220522,0.0350602014318485,0.0486413031837332,0.376582665473781,0.376511997709325,0.376795407154327,0.376560704489759,0.376504436072813,0.376545836213514,0.376590354449263
0.5,0.1,0,0,0,3,3,3,3,3,3,3,0.0308289075150505,0.0236312217270539,0.0288291595249936,0.0350631273054974,0.0486457261980936,0.376670258765188,0.376553637206449,0.376978313005255,0.376622658793849,0.376550809898948,0.376577270312612,0.376620325690557
0,0.2,0,0,0,3,3,3,3,3,3,3,0.0168301319827708,0.0262432823829656,0.0288222282450473,0.0350558871322353,0.0486343590764186,0.376432467523292,0.37650673828983,0.376424881133706,0.376512561618767,0.376466238488015,0.376632859936472,0.376738737114628
0.1,0.2,0,0,0,3,3,3,3,3,3,3,0.0185650385568747,0.0262440902570785,0.0288232864145647,0.0350570603107742,0.0486361325818197,0.376467568151586,0.376523429921951,0.376498161906411,0.376537391265071,0.376484826728796,0.376645462600429,0.376750752643496
0.2,0.2,0,0,0,3,3,3,3,3,3,3,0.0206754343768015,0.026245076169911,0.0288245777801982,0.0350584920258498,0.0486382969161205,0.376510408278882,0.376543800741077,0.376587603453522,0.376567694994698,0.376507512479282,0.376660842628231,0.376765416170681
0.3,0.2,0,0,0,3,3,3,3,3,3,3,0.0232873851096668,0.0262463012586687,0.0288261824226368,0.0350602710727365,0.0486409863055798,0.376563647817877,0.376569114633334,0.376698761208296,0.376605353805047,0.376535703496941,0.37667995381304,0.376783637029676
0.4,0.2,0,0,0,3,3,3,3,3,3,3,0.0265832798285618,0.0262478423223059,0.0288282037292245,0.0350625106431603,0.0486443738587105,0.376630995718231,0.376601040393542,0.376839575568366,0.376652938149629,0.376571278915493,0.376704011545088,0.376806565584593
0.5,0.2,0,0,0,3,3,3,3,3,3,3,0.0308305623981518,0.0262498564169474,0.0288308419151133,0.0350654355221011,0.0486487954442038,0.376718576589807,0.376642667550677,0.377022467142553,0.376714879485769,0.376617640786462,0.376735431952313,0.37683652198443
0,0.3,0,0,0,3,3,3,3,3,3,3,0.016831301188839,0.029453866254397,0.0288243050574611,0.0350587359088635,0.0486381475640852,0.37649207274649,0.376616529359378,0.376479360363294,0.376626287818213,0.376548662680297,0.376827874120473,0.377005294687423
0.1,0.3,0,0,0,3,3,3,3,3,3,3,0.0185663239935703,0.0294547642184975,0.0288253628375442,0.0350599086088247,0.0486399203827865,0.376527167538148,0.376633215020589,0.376552634665985,0.376651111238171,0.376567245166787,0.376840470058664,0.377017302872436
0.2,0.3,0,0,0,3,3,3,3,3,3,3,0.0206768586079671,0.0294558600662759,0.02882665371969,0.0350613397374844,0.0486420838767947,0.376570000477714,0.376653578490354,0.376642068249956,0.376681407315394,0.376589923850256,0.376855841801864,0.377031957339908
0.3,0.3,0,0,0,3,3,3,3,3,3,3,0.0232889765617491,0.0294572217703558,0.0288282577628732,0.0350631180562483,0.0486447722205108,0.376623231040061,0.376678883278214,0.376753215949278,0.376719056614588,0.376618106094999,0.376874942763339,0.377050167047043
0.4,0.3,0,0,0,3,3,3,3,3,3,3,0.0265850735483369,0.0294589322204378,0.0288302778666362,0.0350653561399441,0.0486481576738625,0.376690561260746,0.376710790776018,0.376894011152584,0.376766622114281,0.376653663877341,0.376898980056316,0.377073073333866
0.5,0.3,0,0,0,3,3,3,3,3,3,3,0.0308326016260177,0.0294611708510764,0.0288329150422001,0.0350682797883228,0.0486525774922164,0.37677812672106,0.376752402526585,0.377076885036247,0.376828547262503,0.376700010867287,0.376930383231381,0.377103010950841
0,0.4,0,0,0,3,3,3,3,3,3,3,0.0168327593681684,0.0334549783497121,0.0288268956242872,0.0350622913308504,0.0486428749217941,0.376566643489275,0.376754042822746,0.376547502484809,0.376768737016818,0.376651851985756,0.377072275052507,0.377339425726404
0.1,0.4,0,0,0,3,3,3,3,3,3,3,0.0185679269516521,0.033455983005178,0.0288279527186362,0.035063463198409,0.048644646555409,0.376601728335398,0.376770718354414,0.376620765964815,0.376793549964078,0.376670424662244,0.377084859801583,0.377351421844343
0.2,0.4,0,0,0,3,3,3,3,3,3,3,0.0206786342796631,0.0334572090117687,0.0288292427200293,0.035064893260982,0.0486468085253414,0.37664454848066,0.376791068901142,0.376710185519124,0.376823832643509,0.376693090804399,0.377100217351099,0.377366061073162
0.3,0.4,0,0,0,3,3,3,3,3,3,3,0.0232909583671815,0.0334587323657131,0.0288308455931768,0.0350666701655948,0.0486494948455132,0.376697761924851,0.376816356620596,0.376821314144286,0.376861464183045,0.376721256434938,0.377119299709591,0.377384250895558
0.4,0.4,0,0,0,3,3,3,3,3,3,3,0.0265873223160171,0.0334606641195331,0.0288328781903267,0.035068923452021,0.0486529013491968,0.376765254234094,0.376848426162498,0.376962270366323,0.376909191318505,0.376756976561103,0.377143498054303,0.377407317423912
0.5,0.4,0,0,0,3,3,3,3,3,3,3,0.0308351581718835,0.0334631692379255,0.0288355140927304,0.0350718455486867,0.0486573189402085,0.376852800176518,0.376890018229489,0.377145121891016,0.376971095789851,0.376803304620338,0.377174878964671,0.377437230586519
