"id","V1","V2","V3","V4","V5","F1","F2","F3","F4","F5","F6","F7"
"V1-V",1,0,0,0,0,0,0,0,0,0,0,0
"V1-F",0.2,0,0,0,0,0.709510867483914,0.0258102647401484,0.0371786571083431,0.0253454721492809,0.00210118846963691,2.58182481706303e-05,2.77318005061922e-05
"V2-V",0,1,0,0,0,0,0,0,0,0,0,0
"V2-F",0,0.2,0,0,0,0.444128884002566,0.229623622086489,0.00722271712706996,0.0804179941356416,0.00821240924781045,0.0110387267456892,0.0193556466547338
"V3-V",0,0,1,0,0,0,0,0,0,0,0,0
"V3-F",0,0,0.2,0,0,0.71167249660939,0.084677478484299,0.00130463282684969,0.0013714527952333,0.000424073144732724,0.000519685581002793,3.01805584927983e-05
"V4-V",0,0,0,1,0,0,0,0,0,0,0,0
"V4-F",0,0,0,0.2,0,0.569938942790031,0.202772364363448,0.00531296080974321,0.00268519957335443,0.0172121619058293,0.000736384396710918,0.00134198616088266
"V5-V",0,0,0,0,1,0,0,0,0,0,0,0
"V5-F",0,0,0,0,0.2,0.622871007956564,0.0687669507686532,0.0150003431511231,0.0858397229409495,0.00396340144971767,0.00304095205381893,0.000517621679173241
