"","mean","x","y","y_mod","siteid","month","fraction","fraction_mod"
"19",1.228125,0.0892425720555207,1.19157570598123,127.304843282448,"Tororo",19,0.772010178117048,0.202544529262087
"20",1.88729166666667,0.275839022282313,NA,NA,"Tororo",20,NA,NA
"21",0.574942528735632,-0.240375565224135,NA,NA,"Tororo",21,NA,NA
"23",0.170454545454545,-0.768391413094489,1,5.59450193999789,"Tororo",23,1,0.266666666666667
"32",0.380756013745704,-0.419353228593497,1,12.1452773544464,"Tororo",32,1,0.228339350180505
"34",0.396491228070175,-0.401766416525091,1.09708155016134,13.7795205696892,"Tororo",34,0.867256637168142,0.224778761061947
"39",0,-Inf,NA,NA,"Tororo",39,NA,NA
"40",0,-Inf,NA,NA,"Tororo",40,NA,NA
"41",0,-Inf,NA,NA,"Tororo",41,NA,NA
"42",0,-Inf,NA,NA,"Tororo",42,NA,NA
"43",0.139904306220096,-0.85416891782523,NA,NA,"Kanungu",1,NA,NA
"46",0.0103092783505155,-1.98677173426624,1,0,"Kanungu",4,1,0
"48",0,-Inf,NA,NA,"Kanungu",6,NA,NA
"52",0.0104166666666667,-1.98227123303957,1,0,"Kanungu",10,1,0
"64",0.0210526315789474,-1.67669360962487,1,0,"Kanungu",22,1,0
"70",0,-Inf,NA,NA,"Kanungu",28,NA,NA
"79",0,-Inf,NA,NA,"Kanungu",37,NA,NA
"80",0,-Inf,NA,NA,"Kanungu",38,NA,NA
"81",0,-Inf,NA,NA,"Kanungu",39,NA,NA
"82",0,-Inf,NA,NA,"Kanungu",40,NA,NA
"83",0,-Inf,NA,NA,"Kanungu",41,NA,NA
"84",0,-Inf,NA,NA,"Kanungu",42,NA,NA
"85",0,-Inf,NA,NA,"Jinja",1,NA,NA
"88",0,-Inf,NA,NA,"Jinja",4,NA,NA
"89",0,-Inf,NA,NA,"Jinja",5,NA,NA
"90",0.0104166666666667,-1.98227123303957,1,0,"Jinja",6,1,0
"94",0,-Inf,NA,NA,"Jinja",10,NA,NA
"95",0,-Inf,NA,NA,"Jinja",11,NA,NA
"96",0,-Inf,NA,NA,"Jinja",12,NA,NA
"97",0,-Inf,NA,NA,"Jinja",13,NA,NA
"98",0,-Inf,NA,NA,"Jinja",14,NA,NA
"99",0,-Inf,NA,NA,"Jinja",15,NA,NA
"102",0,-Inf,NA,NA,"Jinja",18,NA,NA
"103",0,-Inf,NA,NA,"Jinja",19,NA,NA
"104",0,-Inf,NA,NA,"Jinja",20,NA,NA
"105",0,-Inf,NA,NA,"Jinja",21,NA,NA
"106",0,-Inf,NA,NA,"Jinja",22,NA,NA
"107",0.0119047619047619,-1.92427928606188,1,0,"Jinja",23,1,0
"108",0,-Inf,NA,NA,"Jinja",24,NA,NA
"110",0.0202020202020202,-1.69460519893357,1,0,"Jinja",26,1,0
"111",0,-Inf,NA,NA,"Jinja",27,NA,NA
"112",0,-Inf,NA,NA,"Jinja",28,NA,NA
"113",0,-Inf,NA,NA,"Jinja",29,NA,NA
"114",0,-Inf,NA,NA,"Jinja",30,NA,NA
"115",0,-Inf,NA,NA,"Jinja",31,NA,NA
"117",0,-Inf,NA,NA,"Jinja",33,NA,NA
"118",0.0106382978723404,-1.9731278535997,1,0,"Jinja",34,1,0
"120",0.0106382978723404,-1.9731278535997,1,0,"Jinja",36,1,0
"121",0.010752688172043,-1.96848294855394,1,0,"Jinja",37,1,0
"122",0,-Inf,NA,NA,"Jinja",38,NA,NA
"123",0,-Inf,NA,NA,"Jinja",39,NA,NA
"124",0,-Inf,NA,NA,"Jinja",40,NA,NA
"125",0,-Inf,NA,NA,"Jinja",41,NA,NA
"126",0,-Inf,NA,NA,"Jinja",42,NA,NA
